player,rating,club,year
Sebastine Ikahihifo,80,Huddersfield Giants,2023
Adam Swift,84,Hull FC,2023
Danny Houghton,84,Hull FC,2023
Jordan Lane,84,Hull FC,2023
Josh Griffin,84,Hull FC,2023
Brad Fash,83,Hull FC,2023
Carlos Tuimavave,83,Hull FC,2023
Darnell McIntosh,83,Hull FC,2023
Jacob Trueman,83,Hull FC,2023
Jake Clifford,83,Hull FC,2023
Joe Cator,83,Hull FC,2023
Liam Sutcliffe,83,Hull FC,2023
Scott Taylor,83,Hull FC,2023
Tex Hoy,83,Hull FC,2023
Brad Dwyer,80,Hull FC,2023
Cameron Scott,80,Hull FC,2023
Joe Lovodua,80,Hull FC,2023
Tevita Satae,80,Hull FC,2023
Cameron Smith,89,Leeds Rhinos,2023
Jarrod O'Connor,87,Leeds Rhinos,2023
Aidan Sezer,84,Leeds Rhinos,2023
Ash Handley,84,Leeds Rhinos,2023
Blake Austin,84,Leeds Rhinos,2023
James McDonnell,84,Leeds Rhinos,2023
Mikolaj Oledzki,84,Leeds Rhinos,2023
Rhyse Martin,84,Leeds Rhinos,2023
Richard Myler,84,Leeds Rhinos,2023
Tom Holroyd,84,Leeds Rhinos,2023
David Fusitu'A,83,Leeds Rhinos,2023
Harry Newman,83,Leeds Rhinos,2023
James Bentley,83,Leeds Rhinos,2023
James Donaldson,81,Leeds Rhinos,2023
Justin Sangaré,81,Leeds Rhinos,2023
Sam Lisone,81,Leeds Rhinos,2023
Corey Johnson,80,Leeds Rhinos,2023
Jai Whitbread,83,Wakefield Trinity,2023
Jay Pitts,83,Wakefield Trinity,2023
Josh Bowden,83,Wakefield Trinity,2023
Liam Hood,83,Wakefield Trinity,2023
Mason Lino,83,Wakefield Trinity,2023
Mat Ashurst,83,Wakefield Trinity,2023
Max Jowitt,83,Wakefield Trinity,2023
Morgan Smith,83,Wakefield Trinity,2023
Tom Lineham,83,Wakefield Trinity,2023
Jordan Crowther,82,Wakefield Trinity,2023
Lee Kershaw,82,Wakefield Trinity,2023
Reece Lyne,82,Wakefield Trinity,2023
Samisoni Langi,82,Wakefield Trinity,2023
Eddie Battye,80,Wakefield Trinity,2023
Kevin Proctor,80,Wakefield Trinity,2023
Liam Kay,80,Wakefield Trinity,2023
Renouf Atoni,80,Wakefield Trinity,2023
George Williams,89,Warrington Wolves,2023
Paul Vaughan,89,Warrington Wolves,2023
Matt Dufty,86,Warrington Wolves,2023
Ben Currie,85,Warrington Wolves,2023
Danny Walker,84,Warrington Wolves,2023
James Harrison,84,Warrington Wolves,2023
Josh Drinkwater,84,Warrington Wolves,2023
Josh Thewlis,84,Warrington Wolves,2023
Matthew Ashton,84,Warrington Wolves,2023
Matty Nicholson,84,Warrington Wolves,2023
Stefan Ratchford,84,Warrington Wolves,2023
Thomas Mikaele,84,Warrington Wolves,2023
Peter Mata'Utia,83,Warrington Wolves,2023
Daryl Clark,82,Warrington Wolves,2023
Joe Philbin,82,Warrington Wolves,2023
Joe Bullock,81,Warrington Wolves,2023
Sam Kasiano,81,Warrington Wolves,2023
Bevan French,91,Wigan Warriors,2023
Harry Smith,89,Wigan Warriors,2023
Liam Farrell,89,Wigan Warriors,2023
Jai Field,87,Wigan Warriors,2023
Toby King,87,Wigan Warriors,2023
Jacob Wardle,86,Wigan Warriors,2023
Liam Marshall,86,Wigan Warriors,2023
Morgan Smithies,86,Wigan Warriors,2023
Abbas Miski,85,Wigan Warriors,2023
Kai Pearce-Paul,85,Wigan Warriors,2023
Kaide Ellis,85,Wigan Warriors,2023
Liam Byrne,85,Wigan Warriors,2023
Sam Powell,85,Wigan Warriors,2023
Bradley O'Neill,84,Wigan Warriors,2023
Ethan Havard,84,Wigan Warriors,2023
Patrick Mago,83,Wigan Warriors,2023
Joe Shorrocks,82,Wigan Warriors,2023
Adam Swift,86,Huddersfield Giants,2024
Jake Connor,85,Huddersfield Giants,2024
Adam Milner,84,Huddersfield Giants,2024
Chris Hill,84,Huddersfield Giants,2024
Harry Rushton,84,Huddersfield Giants,2024
Leroy Cudjoe,84,Huddersfield Giants,2024
Tui Lolohea,84,Huddersfield Giants,2024
Adam Clune,83,Huddersfield Giants,2024
Elliot Wallis,83,Huddersfield Giants,2024
Esan Marsters,83,Huddersfield Giants,2024
Joe Greenwood,83,Huddersfield Giants,2024
Kevin Naiqama,83,Huddersfield Giants,2024
Oliver Wilson,83,Huddersfield Giants,2024
Sam Hewitt,83,Huddersfield Giants,2024
Ashton Golding,81,Huddersfield Giants,2024
Oliver Russell,81,Huddersfield Giants,2024
Sebastine Ikahihifo,80,Huddersfield Giants,2024
Herman Ese'Ese,90,Hull FC,2024
Danny Houghton,84,Hull FC,2024
Jordan Lane,84,Hull FC,2024
Carlos Tuimavave,83,Hull FC,2024
Jack Charles,83,Hull FC,2024
Jayden Okunbor,83,Hull FC,2024
Liam Sutcliffe,83,Hull FC,2024
Ligi Sao,83,Hull FC,2024
Logan Moy,83,Hull FC,2024
Morgan Smith,83,Hull FC,2024
Yusuf Aydin,83,Hull FC,2024
Brad Fash,82,Hull FC,2024
Harvey Barron,82,Hull FC,2024
Lewis Martin,82,Hull FC,2024
Jack Ashworth,81,Hull FC,2024
Denive Balmforth,80,Hull FC,2024
Will Gardiner,80,Hull FC,2024
Cameron Smith,87,Leeds Rhinos,2024
James McDonnell,85,Leeds Rhinos,2024
Jarrod O'Connor,85,Leeds Rhinos,2024
Lachlan Miller,85,Leeds Rhinos,2024
Andy Ackers,84,Leeds Rhinos,2024
Ash Handley,84,Leeds Rhinos,2024
Brodie Croft,84,Leeds Rhinos,2024
Mikolaj Oledzki,84,Leeds Rhinos,2024
Rhyse Martin,84,Leeds Rhinos,2024
David Fusitu'A,83,Leeds Rhinos,2024
Harry Newman,83,Leeds Rhinos,2024
Justin Sangaré,83,Leeds Rhinos,2024
Matt Frawley,83,Leeds Rhinos,2024
Paul Momirovski,83,Leeds Rhinos,2024
James Bentley,82,Leeds Rhinos,2024
Sam Lisone,81,Leeds Rhinos,2024
Mickaël Goudemand,80,Leeds Rhinos,2024
George Williams,90,Warrington Wolves,2024
Matt Dufty,87,Warrington Wolves,2024
Paul Vaughan,86,Warrington Wolves,2024
Toby King,86,Warrington Wolves,2024
Ben Currie,85,Warrington Wolves,2024
Danny Walker,85,Warrington Wolves,2024
James Harrison,84,Warrington Wolves,2024
Josh Drinkwater,84,Warrington Wolves,2024
Josh Thewlis,84,Warrington Wolves,2024
Lachlan Fitzgibbon,84,Warrington Wolves,2024
Matthew Ashton,84,Warrington Wolves,2024
Matty Nicholson,84,Warrington Wolves,2024
Rodrick Tai,84,Warrington Wolves,2024
Sam Powell,83,Warrington Wolves,2024
Joe Philbin,82,Warrington Wolves,2024
Jordan Crowther,82,Warrington Wolves,2024
Zane Musgrove,82,Warrington Wolves,2024
Bevan French,91,Wigan Warriors,2024
Junior Nsemba,89,Wigan Warriors,2024
Harry Smith,87,Wigan Warriors,2024
Liam Farrell,87,Wigan Warriors,2024
Jacob Wardle,86,Wigan Warriors,2024
Jai Field,86,Wigan Warriors,2024
Kaide Ellis,86,Wigan Warriors,2024
Liam Marshall,86,Wigan Warriors,2024
Luke Thompson,86,Wigan Warriors,2024
Abbas Miski,85,Wigan Warriors,2024
Adam Keighran,85,Wigan Warriors,2024
Bradley O'Neill,85,Wigan Warriors,2024
Ethan Havard,85,Wigan Warriors,2024
Liam Byrne,84,Wigan Warriors,2024
Kruise Leeming,83,Wigan Warriors,2024
Patrick Mago,83,Wigan Warriors,2024
Tyler Dupree,82,Wigan Warriors,2024
Zac Woolford,87,Huddersfield Giants,2025
Adam Swift,85,Huddersfield Giants,2025
Oliver Wilson,85,Huddersfield Giants,2025
Joe Greenwood,84,Huddersfield Giants,2025
Leroy Cudjoe,84,Huddersfield Giants,2025
George Flanagan Jr,83,Huddersfield Giants,2025
Harry Rushton,83,Huddersfield Giants,2025
Jake Bibby,83,Huddersfield Giants,2025
Matt Frawley,83,Huddersfield Giants,2025
Tristan Powell,83,Huddersfield Giants,2025
Tui Lolohea,83,Huddersfield Giants,2025
Sam Halsall,82,Huddersfield Giants,2025
Taane Milne,82,Huddersfield Giants,2025
Ashton Golding,81,Huddersfield Giants,2025
Matty English,81,Huddersfield Giants,2025
Kieran Rush,80,Huddersfield Giants,2025
Thomas Burgess,80,Huddersfield Giants,2025
Herman Ese'Ese,90,Hull FC,2025
Will Pryce,87,Hull FC,2025
Aidan Sezer,84,Hull FC,2025
Amir Bourouh,84,Hull FC,2025
Ed Chamberlain,84,Hull FC,2025
John Asiata,84,Hull FC,2025
Jordan Lane,84,Hull FC,2025
Liam Knight,84,Hull FC,2025
Yusuf Aydin,84,Hull FC,2025
Cade Cust,83,Hull FC,2025
Davy Litten,83,Hull FC,2025
Harvey Barron,83,Hull FC,2025
Lewis Martin,83,Hull FC,2025
Tom Briscoe,83,Hull FC,2025
Jack Ashworth,82,Hull FC,2025
Brad Fash,81,Hull FC,2025
Sam Eseh,80,Hull FC,2025
Kallum Watkins,88,Leeds Rhinos,2025
Lachlan Miller,88,Leeds Rhinos,2025
James McDonnell,87,Leeds Rhinos,2025
Ash Handley,86,Leeds Rhinos,2025
Brodie Croft,86,Leeds Rhinos,2025
Jake Connor,86,Leeds Rhinos,2025
Jarrod O'Connor,86,Leeds Rhinos,2025
Mikolaj Oledzki,85,Leeds Rhinos,2025
Cooper Jenkins,84,Leeds Rhinos,2025
Harry Newman,84,Leeds Rhinos,2025
Morgan Gannon,84,Leeds Rhinos,2025
Riley Lumb,84,Leeds Rhinos,2025
Ryan Hall,84,Leeds Rhinos,2025
James Bentley,81,Leeds Rhinos,2025
Keenan Palasia,81,Leeds Rhinos,2025
Sam Lisone,81,Leeds Rhinos,2025
Tom Holroyd,81,Leeds Rhinos,2025
Ethan O'Neill,87,Leigh Leopards,2025
Umyla Hanley,87,Leigh Leopards,2025
Edwin Ipape,86,Leigh Leopards,2025
Isaac Liu,85,Leigh Leopards,2025
Lachlan Lam,85,Leigh Leopards,2025
Owen Trout,85,Leigh Leopards,2025
Robbie Mulhern,85,Leigh Leopards,2025
Bailey Hodgson,84,Leigh Leopards,2025
Frankie Halton,84,Leigh Leopards,2025
Gareth O'Brien,84,Leigh Leopards,2025
Josh Charnley,84,Leigh Leopards,2025
Keanan Brand,84,Leigh Leopards,2025
Tesi Niu,84,Leigh Leopards,2025
Alec Tuitavake,82,Leigh Leopards,2025
Jack Hughes,82,Leigh Leopards,2025
Joe Ofahengaue,82,Leigh Leopards,2025
Matt Davis,82,Leigh Leopards,2025
Mike McMeeken,88,Wakefield Trinity,2025
Jay Pitts,87,Wakefield Trinity,2025
Josh Griffin,85,Wakefield Trinity,2025
Mason Lino,85,Wakefield Trinity,2025
Tom Johnstone,85,Wakefield Trinity,2025
Caius Faatili,84,Wakefield Trinity,2025
Corey Hall,84,Wakefield Trinity,2025
Isaiah Vagana,84,Wakefield Trinity,2025
Jacob Trueman,84,Wakefield Trinity,2025
Lachlan Walmsley,84,Wakefield Trinity,2025
Liam Hood,84,Wakefield Trinity,2025
Matthew Storton,84,Wakefield Trinity,2025
Max Jowitt,84,Wakefield Trinity,2025
Oliver Pratt,84,Wakefield Trinity,2025
Cameron Scott,81,Wakefield Trinity,2025
Harvey Smith,81,Wakefield Trinity,2025
Renouf Atoni,81,Wakefield Trinity,2025
George Williams,88,Warrington Wolves,2025
Ben Currie,86,Warrington Wolves,2025
Danny Walker,86,Warrington Wolves,2025
Luke Yates,86,Warrington Wolves,2025
Matt Dufty,86,Warrington Wolves,2025
Adam Holroyd,84,Warrington Wolves,2025
Josh Thewlis,84,Warrington Wolves,2025
Lachlan Fitzgibbon,84,Warrington Wolves,2025
Marc Sneyd,84,Warrington Wolves,2025
Paul Vaughan,84,Warrington Wolves,2025
Toby King,84,Warrington Wolves,2025
Jake Thewlis,83,Warrington Wolves,2025
Rodrick Tai,83,Warrington Wolves,2025
James Harrison,82,Warrington Wolves,2025
Joe Philbin,81,Warrington Wolves,2025
Jordan Crowther,81,Warrington Wolves,2025
Sam Powell,81,Warrington Wolves,2025
Bevan French,89,Wigan Warriors,2025
Junior Nsemba,88,Wigan Warriors,2025
Kaide Ellis,88,Wigan Warriors,2025
Jai Field,87,Wigan Warriors,2025
Liam Farrell,87,Wigan Warriors,2025
Harry Smith,86,Wigan Warriors,2025
Bradley O'Neill,85,Wigan Warriors,2025
Jacob Wardle,85,Wigan Warriors,2025
Liam Byrne,85,Wigan Warriors,2025
Liam Marshall,85,Wigan Warriors,2025
Luke Thompson,85,Wigan Warriors,2025
Adam Keighran,84,Wigan Warriors,2025
Kruise Leeming,83,Wigan Warriors,2025
Zach Eckersley,83,Wigan Warriors,2025
Patrick Mago,82,Wigan Warriors,2025
Sam Walters,82,Wigan Warriors,2025
Tyler Dupree,82,Wigan Warriors,2025
