name,club,position,overall,potential,sourceSquadStatus,updateEligible
Liam Marshall,Wigan Warriors,Winger,86,86,First Team / Rotation,True
Peta Hiku,Hull KR,Centre,86,86,First Team / Rotation,True
Tevita Pangai Junior,Hull KR,Prop,86,86,First Team / Rotation,True
Jake Arthur,Hull FC,Half Back,85,90,First Team,True
Will Pryce,Hull FC,Five-Eighth,85,89,First Team / Rotation,True
Jacob Alick-Wiencke,Leigh Leopards,Second Row,85,88,Rotation,True
Jacob Gagai,Huddersfield Giants,Fullback,85,88,First Team,True
Tom Davies,Hull KR,Winger,85,88,First Team / Rotation,True
Josh Charnley,Leigh Leopards,Winger,85,88,First Team / Rotation,True
Taane Milne,Huddersfield Giants,Centre,85,87,First Team / Rotation,True
Ethan Havard,Wigan Warriors,Prop,85,87,First Team / Rotation,True
Luke Thompson,Wigan Warriors,Prop,85,87,First Team / Rotation,True
Marc Sneyd,Warrington Wolves,Half Back,85,87,First Team / Rotation,True
Harry Newman,Leeds Rhinos,Winger,85,87,First Team / Rotation,True
Elliot Minchella,Hull KR,Back Row,85,85,First Team / Rotation,True
Kallum Watkins,Leeds Rhinos,Centre,85,85,First Team / Rotation,True
Oliver Partington,Wigan Warriors,Back Row,85,85,First Team,True
Jarrod O'Connor,Leeds Rhinos,Back Row,85,85,First Team / Rotation,True
Liam Farrell,Wigan Warriors,Second Row,85,85,First Team / Rotation,True
Max Jowitt,Wakefield Trinity,Outside Back,85,85,First Team / Rotation,True
Brad O'Neill,Wigan Warriors,Hooker,84,91,First Team / Rotation,True
Oliver Field,York Knights,Five-Eighth,84,90,First-Team Squad,True
Jack Broadbent,Hull KR,Outside Back,84,88,First Team / Rotation,True
Jake Wardle,Wigan Warriors,Outside Back,84,88,First Team / Rotation,True
Lewis Martin,Hull FC,Winger,84,88,First Team / Rotation,True
Lewis Dodd,Catalans Dragons,Half Back,84,87,First Team / Rotation,True
Mikolaj Oledzki,Leeds Rhinos,Prop,84,87,First Team / Rotation,True
Toby Sexton,Catalans Dragons,Five-Eighth,84,87,First Team / Rotation,True
Daejarn Asi,Castleford Tigers,Centre,84,86,First Team,True
Amir Bourouh,Hull FC,Hooker,84,86,First Team,True
Tom Amone,Hull KR,Prop,84,85,First Team / Rotation,True
Nick Cotric,Catalans Dragons,Winger,84,85,First Team / Rotation,True
James Batchelor,Hull KR,Back Row,84,84,First Team / Rotation,True
Caleb Aekins,Bradford Bulls,Fullback,84,84,First Team,True
Josh Allen,Catalans Dragons,Prop,84,84,Rotation,True
Curtis Sironen,St Helens,Second Row,84,84,First Team / Rotation,True
Luke Yates,Warrington Wolves,Back Row,84,84,First Team / Rotation,True
Alex Walmsley,St Helens,Prop,84,84,First Team / Rotation,True
Nene Macdonald,St Helens,Centre,84,84,First Team / Rotation,True
Rhyse Martin,Hull KR,Back Row,84,84,First Team / Rotation,True
Tui Lolohea,Huddersfield Giants,Stand-Off,84,84,First Team / Rotation,True
George Flanagan,Huddersfield Giants,Half Back,83,91,Squad,True
Josh Thewlis,Warrington Wolves,Fullback,83,87,First Team / Rotation,True
Arthur Mourgue,Hull KR,Fullback,83,86,First Team / Rotation,True
Ky Rodwell,Wakefield Trinity,Prop,83,86,First Team / Rotation,True
Ben Condon,Catalans Dragons,Second Row,83,85,First Team,True
Jez Litten,Hull KR,Hooker,83,85,First Team / Rotation,True
Zac Fulton,Bradford Bulls,Second Row,83,84,First Team,True
Robbie Mulhern,Leigh Leopards,Prop,83,84,First Team / Rotation,True
Chris Atkin,Bradford Bulls,Half Back,83,83,Rotation,True
Joe Cator,Toulouse Olympique,Back Row,83,83,Rotation,True
Liam Byrne,Warrington Wolves,Prop,83,83,First Team / Rotation,True
Joe Batchelor,Hull FC,Back Row,83,83,First Team / Rotation,True
Jay Pitts,Wakefield Trinity,Back Row,83,83,First Team / Rotation,True
Isaac Liu,Leigh Leopards,Lock,83,83,First Team / Rotation,True
Aidan Sezer,Hull FC,Half Back,83,83,First Team / Rotation,True
David Klemmer,St Helens,Prop,83,83,First Team / Rotation,True
Esan Marsters,Bradford Bulls,Centre,83,83,First Team / Rotation,True
Jazz Tevaga,Wakefield Trinity,Lock,83,83,First Team / Rotation,True
Joe Ofahengaue,Leigh Leopards,Lock,83,83,First Team / Rotation,True
Jonny Lomax,St Helens,Utility,83,83,First Team / Rotation,True
Kyle Feldt,St Helens,Winger,83,83,First Team / Rotation,True
Ryan Hall,Leeds Rhinos,Winger,83,83,First Team / Rotation,True
Jack Farrimond,Wigan Warriors,Half Back,82,92,Squad,True
Logan Moy,Hull FC,Fullback,82,91,Squad,True
Denive Balmforth,York Knights,Hooker,82,88,Rotation,True
George Delaney,St Helens,Prop,82,87,First Team / Rotation,True
Tom Holroyd,Leeds Rhinos,Prop,82,86,First Team / Rotation,True
Tyler Dupree,Castleford Tigers,Prop,82,86,First Team / Rotation,True
Tiaki Chan,Toulouse Olympique,Prop,82,84,First-Team Squad,True
Tesi Niu,Leigh Leopards,Centre,82,84,First Team / Rotation,True
Albert Hopoate,Warrington Wolves,Centre,82,83,First Team,True
Cameron Scott,Wakefield Trinity,Centre,82,83,First Team,True
Jake Shorrocks,Toulouse Olympique,Half Back,82,83,First Team / Rotation,True
Keenan Palasia,Leeds Rhinos,Prop,82,83,First Team / Rotation,True
Liam Harris,York Knights,Half Back,82,83,First Team / Rotation,True
Tom Briscoe,Hull FC,Winger,82,82,Squad,True
Joe Burgess,Hull KR,Winger,82,82,First Team,True
Julian Bousquet,Catalans Dragons,Prop,82,82,First Team / Rotation,True
Jed Cartwright,St Helens,Second Row,82,82,First Team,True
Zac Woolford,Huddersfield Giants,Hooker,82,82,First Team,True
Oliver Wilson,Wigan Warriors,Prop,82,82,Squad,True
Josh Griffin,York Knights,Centre,82,82,First Team,True
Mason Lino,Wakefield Trinity,Half Back,82,82,First Team / Rotation,True
Adam Keighran,Wigan Warriors,Five-Eighth,82,82,First Team / Rotation,True
Ben Garcia,Catalans Dragons,Second Row,82,82,First Team / Rotation,True
Cam Smith,Leeds Rhinos,Loose Forward,82,82,First Team / Rotation,True
Dean Hadley,Hull KR,Second Row,82,82,First Team / Rotation,True
Jack Bird,Leeds Rhinos,Lock,82,82,First Team / Rotation,True
Sauaso Sue,Hull KR,Prop,82,82,First Team / Rotation,True
Toby King,Warrington Wolves,Centre,82,82,First Team / Rotation,True
Tommy Makinson,Catalans Dragons,Winger,82,82,First Team / Rotation,True
George Whitby,St Helens,Half Back,81,90,Rotation,True
Harvey Barron,Hull FC,Winger,81,87,First Team / Rotation,True
David Armstrong,Leigh Leopards,Fullback,81,87,First Team / Rotation,True
Corey Hall,Wakefield Trinity,Outside Back,81,85,First Team / Rotation,True
Loghan Lewis,Bradford Bulls,Lock,81,84,First Team,True
Abbas Miski,Wigan Warriors,Winger,81,84,Rotation,True
Tom Burgess,Huddersfield Giants,Prop,81,83,First Team / Rotation,True
Matty Storton,Wakefield Trinity,Back Row,81,83,First Team / Rotation,True
Oliver Gildart,Hull KR,Outside Back,81,83,First Team,True
Tyson Smoothy,Wakefield Trinity,Hooker,81,83,First Team / Rotation,True
Kruise Leeming,Catalans Dragons,Hooker,81,82,First Team / Rotation,True
Renouf Atoni,Castleford Tigers,Prop,81,81,First Team,True
Waqa Blake,Bradford Bulls,Centre,81,81,First Team / Rotation,True
James Bell,Hull FC,Back Row,81,81,Rotation,True
Yusuf Aydin,Hull FC,Prop,81,81,Squad,True
Zac Cini,Castleford Tigers,Centre,81,81,First Team,True
Ethan O'Neill,Hull FC,Second Row,81,81,Rotation,True
Chris Satae,Catalans Dragons,Prop,81,81,First Team / Rotation,True
Danny Levi,Leeds Rhinos,Hooker,81,81,First Team / Rotation,True
Kelepi Tanginoa,Warrington Wolves,Back Row,81,81,First Team / Rotation,True
Matt Whitley,St Helens,Second Row,81,81,First Team / Rotation,True
Niall Evalds,Huddersfield Giants,Fullback,81,81,First Team / Rotation,True
Ryan Sutton,Bradford Bulls,Prop,81,81,First Team / Rotation,True
Taofofoa Sipley,Warrington Wolves,Prop,81,81,First Team,True
Zak Hardaker,Hull FC,Centre,81,81,First Team / Rotation,True
Fletcher Rooney,Castleford Tigers,Fullback,80,89,Rotation,True
Harry Robertson,St Helens,Fullback,80,89,First Team / Rotation,True
Leon Hayes,Warrington Wolves,Half Back,80,89,Squad,True
Riley Lumb,Leeds Rhinos,Fullback,80,89,Squad,True
Cai Taylor-Wray,Warrington Wolves,Fullback,80,88,First Team / Rotation,True
Adam Holroyd,Warrington Wolves,Second Row,80,87,First Team / Rotation,True
Oliver Pratt,Wakefield Trinity,Centre,80,87,First Team / Rotation,True
Sam Halsall,Huddersfield Giants,Winger,80,85,First Team / Rotation,True
Sam Walters,Wigan Warriors,Back Row,80,85,First Team / Rotation,True
Cooper Jenkins,Leeds Rhinos,Prop,80,84,Rotation,True
Lewis Murphy,St Helens,Winger,80,84,First Team / Rotation,True
Patrick Mago,Wigan Warriors,Prop,80,84,Rotation,True
Blake Taaffe,Castleford Tigers,Fullback,80,83,First Team / Rotation,True
Frankie Halton,Leigh Leopards,Second Row,80,82,First Team,True
James Harrison,Warrington Wolves,Second Row,80,82,First Team,True
Max Simpson,Leeds Rhinos,Centre,80,82,Rotation,True
Guillermo Aispuro-Bichet,Catalans Dragons,Centre,80,81,Squad,True
Caius Faatili,Wakefield Trinity,Prop,80,81,Rotation,True
Joe Shorrocks,St Helens,Loose Forward,80,81,First Team / Rotation,True
Paul Ulberg,Toulouse Olympique,Winger,80,81,First Team / Rotation,True
Shane Wright,St Helens,Second Row,80,81,First Team,True
Rob Butler,Toulouse Olympique,Prop,80,80,Rotation,True
Lambert Belmas,Toulouse Olympique,Prop,80,80,First Team,True
Jack Brown,Hull KR,Prop,80,80,Rotation,True
Ed Chamberlain,Bradford Bulls,Winger,80,80,Rotation,True
James Bentley,Warrington Wolves,Back Row,80,80,First Team / Rotation,True
Innes Senior,Leigh Leopards,Outside Back,80,80,Squad,True
Isaiah Vagana,Wakefield Trinity,Second Row,80,80,Rotation,True
Agnatius Paasi,St Helens,Prop,80,80,First Team / Rotation,True
Ata Hingano,York Knights,Half Back,80,80,First Team / Rotation,True
Danny Richardson,York Knights,Half Back,80,80,First Team / Rotation,True
David Nofoaluma,York Knights,Winger,80,80,First Team / Rotation,True
Jacob Host,St Helens,Second Row,80,80,First Team / Rotation,True
Jayden Nikorima,Bradford Bulls,Five-Eighth,80,80,First Team / Rotation,True
Joe Philbin,Warrington Wolves,Prop,80,80,First Team / Rotation,True
Mikaele Ravalawa,Castleford Tigers,Winger,80,80,First Team / Rotation,True
Owen Trout,Leigh Leopards,Loose Forward,80,80,First Team,True
Sam Lisone,Hull FC,Prop,80,80,First Team / Rotation,True
Sam Powell,Warrington Wolves,Hooker,80,80,First Team / Rotation,True
Sam Stone,Warrington Wolves,Second Row,80,80,First Team,True
Jack Charles,Hull KR,Half Back,79,89,Squad,True
Jenson Windley,Castleford Tigers,Half Back,79,88,Squad,True
Seth Nikotemo,Wakefield Trinity,Second Row,79,86,First Team,True
Asher O'Donnell,Huddersfield Giants,Second Row,79,84,First Team,True
John Asiata,Hull FC,Lock,79,83,First Team / Rotation,True
Adam Clune,Huddersfield Giants,Half Back,79,82,First Team / Rotation,True
Deon Cross,St Helens,Winger,79,81,First Team,True
Ashton Golding,Castleford Tigers,Fullback,79,80,First-Team Squad,True
Brendan Hands,Toulouse Olympique,Hooker,79,80,First Team,True
Jai Whitbread,Hull KR,Prop,79,80,Rotation,True
Olly Russell,Huddersfield Giants,Half Back,79,80,First-Team Squad,True
Reubenn Rennie,Toulouse Olympique,Centre,79,80,First Team,True
Sam Luckley,Hull KR,Prop,79,80,Rotation,True
Aaron Pene,Leigh Leopards,Prop,79,79,Rotation,True
Anthony Marion,Toulouse Olympique,Lock,79,79,First Team,True
Cade Cust,Hull FC,Hooker,79,79,Rotation,True
Chris Hankinson,Leeds Rhinos,Outside Back,79,79,Rotation,True
George King,Huddersfield Giants,Prop,79,79,Rotation,True
Jack Hughes,Leigh Leopards,Second Row,79,79,Squad,True
Jordan Lipp,York Knights,Centre,79,79,First Team,True
Liam Sutcliffe,Huddersfield Giants,Loose Forward,79,79,Squad,True
Matt Davis,Leigh Leopards,Lock,79,79,Rotation,True
Paul McShane,York Knights,Hooker,79,79,First Team,True
Arron Lindop,Warrington Wolves,Centre,78,87,Squad,True
Harry Rushton,Huddersfield Giants,Back Row,78,85,First Team,True
Jon Bennison,York Knights,Centre,78,84,Squad,True
Davy Litten,Hull FC,Fullback,78,83,First Team,True
Josh Rourke,Wakefield Trinity,Fullback,78,83,Squad,True
Ned McCormack,Leeds Rhinos,Centre,78,83,Squad,True
Ryan Hampshire,Hull KR,Utility,78,83,Squad,True
Thomas Lacans,Toulouse Olympique,Half Back,78,83,First Team,True
Tom Forber,Wigan Warriors,Hooker,78,83,Squad,True
Jake Wingfield,St Helens,Back Row,78,82,Rotation,True
Rowan Milnes,Bradford Bulls,Half Back,78,82,First Team,True
Kieran Buchanan,York Knights,Outside Back,78,81,Squad,True
Connor Bailey,Hull FC,Back Row,78,81,Squad,True
Keanan Brand,Leigh Leopards,Outside Back,78,81,First Team,True
Kian McDermott,Wigan Warriors,Prop,78,81,Squad,True
Sam Hewitt,Huddersfield Giants,Back Row,78,81,First Team,True
James Roumanos,Toulouse Olympique,Second Row,78,80,First Team,True
Jordan Crowther,Warrington Wolves,Lock,78,80,Rotation,True
Jordan Lane,Castleford Tigers,Second Row,78,80,First Team,True
Lazarus Vaalepu,Leigh Leopards,Prop,78,80,First-Team Squad,True
Liam Horne,Leigh Leopards,Hooker,78,80,First-Team Squad,True
Sam Wood,York Knights,Centre,78,80,First Team,True
Harvie Hill,Hull FC,Prop,78,79,First Team,True
Ethan Ryan,Bradford Bulls,Outside Back,78,79,First Team,True
Ewan Irwin,Warrington Wolves,Half Back,78,79,Rotation,True
Jack Martin,York Knights,Prop,78,79,First Team,True
Justin Sangare,York Knights,Prop,78,79,Rotation,True
Toa Mata'afa,York Knights,Fullback,78,79,First Team,True
Guy Armitage,Bradford Bulls,Outside Back,78,78,Squad,True
Jack Ashworth,Castleford Tigers,Prop,78,78,Rotation,True
Louis Senior,Castleford Tigers,Centre,78,78,Squad,True
Adam Swift,Huddersfield Giants,Winger,78,78,First Team,True
Alex Mellor,Castleford Tigers,Centre,78,78,First Team,True
Ben Jones-Bishop,York Knights,Outside Back,78,78,First Team,True
Benjamin Laguerre,Toulouse Olympique,Winger,78,78,First Team,True
Brad Fash,Hull FC,Prop,78,78,Squad,True
Dan Russell,Bradford Bulls,Second Row,78,78,First Team,True
Daniel Suluka-Fifita,St Helens,Prop,78,78,First-Team Squad,True
Darnell McIntosh,Castleford Tigers,Fullback,78,78,First Team,True
Franck Maria,Catalans Dragons,Lock,78,78,First Team,True
Gareth O'Brien,Leigh Leopards,Fullback,78,78,Squad,True
George Lawler,Castleford Tigers,Back Row,78,78,First Team,True
Jayden Okunbor,Bradford Bulls,Winger,78,78,First Team,True
Jesse Dee,York Knights,Second Row,78,78,First Team,True
Joe Keyes,Bradford Bulls,Half Back,78,78,Rotation,True
Joe Stimson,Castleford Tigers,Second Row,78,78,First Team,True
Joe Westerman,Castleford Tigers,Loose Forward,78,78,Rotation,True
Jordan Thompson,York Knights,Second Row,78,78,First Team,True
King Vuniyayawa,York Knights,Back Row,78,78,First-Team Squad,True
Liam Hood,Castleford Tigers,Hooker,78,78,First Team,True
Liam Knight,Hull FC,Prop,78,78,Rotation,True
Ligi Sao,Hull FC,Prop,78,78,Rotation,True
Matty Russell,Catalans Dragons,Winger,78,78,First-Team Squad,True
Maxime Stefani,Toulouse Olympique,Second Row,78,78,First Team,True
Mitch Clark,York Knights,Prop,78,78,First-Team Squad,True
Paul Marcon,Toulouse Olympique,Winger,78,78,First Team,True
Romain Navarrete,Catalans Dragons,Prop,78,78,Rotation,True
Scott Galeano,York Knights,Winger,78,78,First Team,True
Semi Valemei,Castleford Tigers,Winger,78,78,First Team,True
Solomona Faataape,Catalans Dragons,Centre,78,78,First Team,True
Tom Weaver,Castleford Tigers,Half Back,78,78,First Team,True
Tristan Powell,Huddersfield Giants,Prop,78,78,First Team,True
Will Dagger,York Knights,Outside Back,78,78,Squad,True
Noah Booth,Hull KR,Fullback,77,88,Squad,True
Xavier Va'a,York Knights,Prop,77,86,Rotation,True
Presley Cassell,Leeds Rhinos,Lock,77,84,Squad,True
Harvey Smith,Wakefield Trinity,Hooker,77,84,Rotation,True
Harvey Wilson,Catalans Dragons,Prop,77,84,Rotation,True
Baptiste Rodriguez,Toulouse Olympique,Hooker,77,83,Rotation,True
Ebon Scurr,Bradford Bulls,Prop,77,82,Rotation,True
Kieran Rush,Huddersfield Giants,Hooker,77,81,Rotation,True
Bailey Hodgson,Leigh Leopards,Outside Back,77,79,Rotation,True
Joe Bretherton,Toulouse Olympique,Prop,77,78,Rotation,True
Alrix Da Costa,Catalans Dragons,Hooker,77,78,Rotation,True
Arthur Romano,Hull FC,Centre,77,78,Squad,True
Brad Dwyer,Castleford Tigers,Hooker,77,77,Rotation,True
Brad Singleton,Castleford Tigers,Prop,77,77,Squad,True
Brock Greacen,Castleford Tigers,Prop,77,77,Rotation,True
Calum Gahan,Toulouse Olympique,Hooker,77,77,Rotation,True
Eribe Doro,Bradford Bulls,Prop,77,77,Rotation,True
Fenton Rogers,Huddersfield Giants,Prop,77,77,Rotation,True
Iszac Fa'asuamaleaui,Catalans Dragons,Prop,77,77,Rotation,True
Jack Ormondroyd,Bradford Bulls,Prop,77,77,Rotation,True
Joe Greenwood,Huddersfield Giants,Back Row,77,77,Rotation,True
Kieran Hudson,York Knights,Prop,77,77,Rotation,True
Mitch Souter,Bradford Bulls,Hooker,77,77,Rotation,True
Phoenix Laulu-Togaga'e,Castleford Tigers,Fullback,77,77,Rotation,True
Jack Sinfield,Wakefield Trinity,Five-Eighth,76,85,Squad,True
Jason Qareqare,Castleford Tigers,Winger,76,85,Squad,True
AJ Towse,Leigh Leopards,Winger,76,84,Squad,True
Sam Eseh,Wigan Warriors,Prop,76,84,Squad,True
Bill Leyland,Hull KR,Hooker,76,82,Squad,True
Jake Burns,St Helens,Hooker,76,81,Squad,True
Jack Billington,Huddersfield Giants,Prop,76,81,Squad,True
Jayden Myers,Wakefield Trinity,Winger,76,81,Squad,True
Tray Lolesio,Wakefield Trinity,Prop,76,81,Squad,True
Andrew Badrock,Leigh Leopards,Second Row,76,79,Squad,True
Jordan Dezaria,Hull KR,Back Row,76,79,Squad,True
Josh Simm,Catalans Dragons,Winger,76,79,Squad,True
Karl Lawton,Hull KR,Second Row,76,79,Squad,True
Lachlan Walmsley,Wakefield Trinity,Winger,76,79,Squad,True
Mathieu Cozza,Huddersfield Giants,Prop,76,79,Squad,True
Lee Kershaw,Huddersfield Giants,Outside Back,76,77,Squad,True
Greg Eden,Bradford Bulls,Winger,76,76,Squad,True
Alfie Edgell,Leeds Rhinos,Fullback,75,84,Squad,True
Noah Stephens,St Helens,Prop,75,84,Squad,True
AJ Wallace,Toulouse Olympique,Second Row,75,82,Squad,True
Connor Wynne,Bradford Bulls,Outside Back,75,82,Squad,True
Ellis Gillam,Toulouse Olympique,Second Row,75,82,Squad,True
Samuel Hallas,Bradford Bulls,Lock,75,82,Squad,True
Connor Carr,Huddersfield Giants,Centre,75,81,Squad,True
Brandon Douglas,Bradford Bulls,Prop,75,81,Squad,True
Connor Wrench,Huddersfield Giants,Back Row,75,81,Squad,True
Henry O'Kane,Toulouse Olympique,Second Row,75,81,Squad,True
Luke Hooley,Bradford Bulls,Fullback,75,81,Squad,True
Pierre-Jean Lima,Toulouse Olympique,Second Row,75,81,Squad,True
Romeo Tropis,Toulouse Olympique,Centre,75,81,Squad,True
Ben McNamara,Leigh Leopards,Half Back,75,77,Squad,True
Jeremiah Mata'utia,Hull FC,Prop,75,77,Squad,True
Aiden Doolan,Castleford Tigers,Hooker,75,75,Squad,True
Chris Patolo,Huddersfield Giants,Prop,75,75,Squad,True
John Sagaga,York Knights,Prop,75,75,Squad,True
Matthieu Laguerre,Catalans Dragons,Centre,75,75,Squad,True
Riley Dean,Bradford Bulls,Half Back,75,75,Squad,True
Will Gardiner,Bradford Bulls,Prop,75,75,Squad,True
